,dropoff_datetime,dropoff_latitude,dropoff_longitude,dropoff_taxizone_id,ehail_fee,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,pickup_datetime,pickup_latitude,pickup_longitude,pickup_taxizone_id,rate_code_id,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,trip_distance,trip_type,vendor_id,trip_id
41,2009-01-01 00:08:31,40.75201,-73.992355,100.0,,0.0,6.2,,,,"""Cash""",2009-01-01 00:00:59,40.758377,-73.99265,48.0,,,0.0,0.0,6.2,0.6,"""yellow""","""CMT""",41
42,2009-01-01 00:09:12,40.767853,-73.981445,142.0,,0.0,7.8,,,,"""Cash""",2009-01-01 00:00:59,40.791462,-73.97237,238.0,,,0.0,0.0,7.8,1.9,"""yellow""","""CMT""",42
43,2009-01-01 00:08:42,40.751297,-73.97188,233.0,,0.0,7.4,,,,"""Credit""",2009-01-01 00:01:00,40.74171,-73.99375,90.0,,,1.0,0.0,8.4,1.8,"""yellow""","""CMT""",43
44,2009-01-01 00:17:51,40.750668,-73.99136999999997,186.0,,0.5,9.7,,,,"""CASH""",2009-01-01 00:01:01,40.771744,-73.982864,142.0,,,0.0,0.0,10.2,1.7,"""yellow""","""DDS""",44
45,2009-01-01 00:05:41,40.760067,-73.99146,48.0,,0.0,5.0,,,,"""Cash""",2009-01-01 00:01:02,40.768867,-73.98601,48.0,,,0.0,0.0,5.0,0.7,"""yellow""","""CMT""",45
46,2009-01-01 00:03:56,40.7771,-73.95973000000002,236.0,,0.0,4.6,,,,"""Cash""",2009-01-01 00:01:03,40.778603,-73.954025,263.0,,,0.0,0.0,4.6,0.5,"""yellow""","""CMT""",46
47,2009-01-01 00:23:30,40.689407,-73.9939,52.0,,0.0,29.0,,,,"""Credit""",2009-01-01 00:01:03,40.81968300000001,-73.960396,152.0,,,4.97,4.15,38.12,12.0,"""yellow""","""CMT""",47
48,2009-01-01 00:06:55,40.75291,-73.97259,233.0,,0.0,6.2,,,,"""Cash""",2009-01-01 00:01:03,40.76214,-73.97941,230.0,,,0.0,0.0,6.2,1.3,"""yellow""","""CMT""",48
49,2009-01-01 00:09:38,40.77445,-73.96573000000002,43.0,,0.0,9.4,,,,"""Cash""",2009-01-01 00:01:03,40.73943,-73.98267,107.0,,,0.0,0.0,9.4,3.0,"""yellow""","""CMT""",49
50,2009-01-01 00:07:15,40.722874,-73.99823,144.0,,0.0,5.8,,,,"""Cash""",2009-01-01 00:01:04,40.73411,-73.99513,113.0,,,0.0,0.0,5.8,1.0,"""yellow""","""CMT""",50
51,2009-01-01 00:17:16,40.764496,-73.91894,7.0,,0.0,14.6,,,,"""Cash""",2009-01-01 00:01:04,40.742744,-73.97248,137.0,,,0.0,0.0,14.6,5.0,"""yellow""","""CMT""",51
52,2009-01-01 00:04:30,40.734932,-73.9911,113.0,,0.0,4.6,,,,"""Cash""",2009-01-01 00:01:04,40.72924,-73.987274,79.0,,,0.0,0.0,4.6,0.5,"""yellow""","""CMT""",52
53,2009-01-01 00:20:08,40.81332,-73.94481999999998,42.0,,0.0,15.8,,,,"""Cash""",2009-01-01 00:01:06,40.757263,-73.99734000000002,246.0,,,0.0,0.0,15.8,5.3,"""yellow""","""CMT""",53
54,2009-01-01 00:01:13,40.71173,-73.943634,80.0,,0.0,45.0,,,,"""No Charge""",2009-01-01 00:01:06,40.71173,-73.943634,80.0,,,0.0,0.0,45.0,0.0,"""yellow""","""CMT""",54
55,2009-01-01 00:03:22,0.0,0.0,,,0.0,4.2,,,,"""Cash""",2009-01-01 00:01:07,0.0,0.0,,,,0.0,0.0,4.2,0.5,"""yellow""","""CMT""",55
56,2009-01-01 00:04:05,40.790295,-73.94281,75.0,,0.0,4.6,,,,"""Cash""",2009-01-01 00:01:08,40.794346,-73.94723499999998,75.0,,,0.0,0.0,4.6,0.7,"""yellow""","""CMT""",56
57,2009-01-01 00:04:19,40.78573,-73.976685,239.0,,0.0,4.2,,,,"""No Charge""",2009-01-01 00:01:09,40.78477,-73.97728000000002,239.0,,,0.0,0.0,4.2,0.8,"""yellow""","""CMT""",57
58,2009-01-01 00:19:34,40.75771,-73.916756,7.0,,0.0,16.2,,,,"""Cash""",2009-01-01 00:01:09,40.762672,-73.98563,230.0,,,0.0,0.0,16.2,5.1,"""yellow""","""CMT""",58
59,2009-01-01 00:09:29,40.757664,-73.996666,48.0,,0.0,7.0,,,,"""Cash""",2009-01-01 00:01:09,40.76491,-73.98447,48.0,,,0.0,0.0,7.0,1.2,"""yellow""","""CMT""",59
60,2009-01-01 00:16:51,40.76668,-73.983986,48.0,,0.0,9.8,,,,"""Cash""",2009-01-01 00:01:10,40.7602,-73.98058,230.0,,,0.0,0.0,9.8,1.9,"""yellow""","""CMT""",60
61,2009-01-01 00:19:05,40.74573,-73.97775,170.0,,0.5,10.5,,,,"""CREDIT""",2009-01-01 00:01:12,40.761448,-73.99779000000002,50.0,,,2.2,0.0,13.2,1.8,"""yellow""","""DDS""",61
62,2009-01-01 00:05:08,40.77332,-73.95249,263.0,,0.0,5.8,,,,"""Cash""",2009-01-01 00:01:12,40.76049,-73.96726,229.0,,,0.0,0.0,5.8,1.4,"""yellow""","""CMT""",62
63,2009-01-01 00:09:56,40.76127,-73.93499,7.0,,0.5,7.3,,,,"""CASH""",2009-01-01 00:01:13,40.744656,-73.929634,226.0,,,0.0,0.0,7.8,1.7,"""yellow""","""DDS""",63
64,2009-01-01 00:19:43,40.684612,-73.978714,25.0,,0.0,15.0,,,,"""Cash""",2009-01-01 00:01:14,40.704895,-74.013054,88.0,,,0.0,0.0,15.0,4.5,"""yellow""","""CMT""",64
65,2009-01-01 00:09:38,40.747063,-73.9772,170.0,,0.0,7.0,,,,"""Cash""",2009-01-01 00:01:15,40.75608,-73.98349,230.0,,,0.0,0.0,7.0,1.4,"""yellow""","""CMT""",65
66,2009-01-01 00:08:07,40.735016,-73.98308,107.0,,0.0,8.6,,,,"""Cash""",2009-01-01 00:01:17,40.76975,-73.95767,141.0,,,0.0,0.0,8.6,2.7,"""yellow""","""CMT""",66
67,2009-01-01 00:07:25,40.778576,-73.95555,236.0,,0.0,6.6,,,,"""Cash""",2009-01-01 00:01:19,40.76355,-73.95634,140.0,,,0.0,0.0,6.6,1.4,"""yellow""","""CMT""",67
68,2009-01-01 00:06:34,40.701538,-74.01231999999997,88.0,,0.0,9.0,,,,"""Credit""",2009-01-01 00:01:22,40.72025,-73.98447,232.0,,,0.0,0.0,9.0,3.0,"""yellow""","""CMT""",68
69,2009-01-01 00:01:37,40.76777,-73.96991,237.0,,0.0,3.0,,,,"""Cash""",2009-01-01 00:01:22,40.76777,-73.96991,237.0,,,0.0,0.0,3.0,0.0,"""yellow""","""CMT""",69
70,2009-01-01 00:22:28,40.720406,-73.99940500000002,144.0,,0.0,24.6,,,,"""Cash""",2009-01-01 00:01:24,40.835133,-73.94389,244.0,,,0.0,0.0,24.6,9.6,"""yellow""","""CMT""",70
71,2009-01-01 00:05:35,40.73499,-73.98007,107.0,,0.0,5.0,,,,"""Cash""",2009-01-01 00:01:25,40.72688,-73.97986,4.0,,,0.0,0.0,5.0,0.7,"""yellow""","""CMT""",71
72,2009-01-01 00:10:01,40.73934600000001,-73.9863,107.0,,0.5,6.1,,,,"""CREDIT""",2009-01-01 00:01:26,40.722824,-73.98585,79.0,,,1.0,0.0,7.6,1.3,"""yellow""","""DDS""",72
73,2009-01-01 00:04:34,40.744347,-74.00389,68.0,,0.0,4.2,,,,"""Cash""",2009-01-01 00:01:28,40.73996,-74.00272,68.0,,,0.0,0.0,4.2,0.4,"""yellow""","""CMT""",73
74,2009-01-01 00:02:47,40.703835,-74.01139,88.0,,0.0,3.0,,,,"""No Charge""",2009-01-01 00:01:28,40.70446,-74.01011,88.0,,,0.0,0.0,3.0,0.0,"""yellow""","""CMT""",74
75,2009-01-01 00:05:25,40.7297,-73.98094,79.0,,0.0,4.6,,,,"""Cash""",2009-01-01 00:01:30,40.72135,-73.98772,148.0,,,0.0,0.0,4.6,0.7,"""yellow""","""CMT""",75
76,2009-01-01 00:15:00,40.754547,-73.97865,161.0,,0.0,8.6,,,,"""Cash""",2009-01-01 00:01:31,40.749428,-73.98416,164.0,,,0.0,0.0,8.6,1.0,"""yellow""","""CMT""",76
77,2009-01-01 00:20:54,40.8668,-73.884346,20.0,,0.0,23.8,,,,"""Cash""",2009-01-01 00:01:31,40.785866,-73.9727,239.0,,,0.0,0.0,23.8,9.7,"""yellow""","""CMT""",77
78,2009-01-01 00:14:47,40.758316,-73.95288000000002,202.0,,0.0,12.2,,,,"""Cash""",2009-01-01 00:01:32,40.76512,-73.9685,237.0,,,0.0,0.0,12.2,4.0,"""yellow""","""CMT""",78
79,2009-01-01 00:03:54,40.751335,-73.9829,164.0,,0.0,4.2,,,,"""Credit""",2009-01-01 00:01:34,40.74969,-73.98824,186.0,,,1.8,0.0,6.0,0.4,"""yellow""","""CMT""",79
80,2009-01-01 00:09:48,40.752033,-74.00469,246.0,,0.0,8.2,,,,"""Cash""",2009-01-01 00:01:36,40.73334000000001,-74.00529499999998,249.0,,,0.0,0.0,8.2,1.8,"""yellow""","""CMT""",80
